"LL"	"Param"	"AICc"	"AIC"	"Slope"	"R2"	"Null"	"File"	"Variable_Size"	"Species"	"Model"	"cluster"	"shade"	"Phyl"	"Lhab"	"Origin"
-3674.96	2	7353.938	7353.921	397.5185	-3.423741	NA	"./Results/Model_Fits/DIA_ABBAModel.01a.txt"	"DIA"	"ABBA"	"Model.01a"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2522.904	4	5053.867	5053.808	0.984127	-0.005099785	NA	"./Results/Model_Fits/DIA_ABBAModel.02a.txt"	"DIA"	"ABBA"	"Model.02a"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2500.37	8	5016.956	5016.74	0.9994436	0.05954305	NA	"./Results/Model_Fits/DIA_ABBAModel.03a.txt"	"DIA"	"ABBA"	"Model.03a"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2499.936	9	5018.141	5017.871	1.005742	0.06075677	NA	"./Results/Model_Fits/DIA_ABBAModel.04a.txt"	"DIA"	"ABBA"	"Model.04a"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2439.155	10	4898.64	4898.31	0.9968425	0.21493	NA	"./Results/Model_Fits/DIA_ABBAModel.05a.txt"	"DIA"	"ABBA"	"Model.05a"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2398.898	10	4818.125	4817.795	1.008236	0.3028671	NA	"./Results/Model_Fits/DIA_ABBAModel.06a.txt"	"DIA"	"ABBA"	"Model.06a"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2347.903	10	4716.136	4715.806	0.9950033	0.4001921	NA	"./Results/Model_Fits/DIA_ABBAModel.07a.txt"	"DIA"	"ABBA"	"Model.07a"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2291.733	22	4629.011	4627.466	0.998235	0.4922536	NA	"./Results/Model_Fits/DIA_ABBAModel.08a.txt"	"DIA"	"ABBA"	"Model.08a"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2285.567	22	4616.68	4615.134	0.9978349	0.5014534	NA	"./Results/Model_Fits/DIA_ABBAModel.08b.txt"	"DIA"	"ABBA"	"Model.08b"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2294.061	21	4631.531	4630.122	1.005477	0.4882744	NA	"./Results/Model_Fits/DIA_ABBAModel.08c.txt"	"DIA"	"ABBA"	"Model.08c"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2410.08	11	4842.557	4842.161	1.006274	0.2795516	NA	"./Results/Model_Fits/DIA_ABBAModel.09a.txt"	"DIA"	"ABBA"	"Model.09a"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2402.001	11	4826.398	4826.001	0.9973162	0.2966365	NA	"./Results/Model_Fits/DIA_ABBAModel.09b.txt"	"DIA"	"ABBA"	"Model.09b"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2421.932	10	4864.193	4863.863	0.9979651	0.2538178	NA	"./Results/Model_Fits/DIA_ABBAModel.09c.txt"	"DIA"	"ABBA"	"Model.09c"	"cluster1"	"shade1"	"Gym"	"E"	"N"
-2319.116	13	4664.779	4664.231	0.9995396	0.4492486	NA	"./Results/Model_Fits/DIA_ABBAModel.10a.txt"	"DIA"	"ABBA"	"Model.10a"	"cluster1"	"shade1"	"Gym"	"E"	"N"
