""	"PotGrowth"	"Variable_Size"	"Species"	"Model"	"sizeX0"	"sizeXb"	"alpha"	"beta"	"C"	"D"	"Cprim"	"gamma"	"theta"	"lambdaVec1"	"lambdaVec2"	"lambdaVec3"	"lambdaVec4"	"lambdaVec5"	"lambdaVec6"	"lambdaVec7"	"lambdaVec8"	"lambdaVec9"	"lambdaVec10"	"lambdaVec11"	"lambdaVec12"	"lambdaVec13"	"compX0"	"compXb"	"lambdaVec14"	"lambdaVec15"	"lambdaVec16"	"lambdaVec17"	"lambdaVec18"
"1"	44.595	"DIA"	"ABBA"	"Model.01a"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	44.595	"DIA"	"ABBA"	"Model.02a"	17.58032	0.8980193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	44.595	"DIA"	"ABBA"	"Model.03a"	1.150395	7.7634	3.07143	2.501868	41.2722	1.661075e-38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	44.59519	"DIA"	"ABBA"	"Model.04a"	23.20035	0.5036032	1.671636	3.500363	NA	8.553846e-19	46.18516	0.990152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	89.10714	"DIA"	"ABBA"	"Model.05a"	0.9937788	9.1462	0.5	2.637802	NA	0.2875425	212.0576	0.03696421	0.2641179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	81.31482	"DIA"	"ABBA"	"Model.06a"	28.09659	0.5	1.995558	1.961735	NA	0.5038786	3.676568	0.7054351	1.157895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	44.595	"DIA"	"ABBA"	"Model.07a"	0.9250131	11.47252	0.9626253	2.382881	NA	1.104413	0.01535938	0.5158782	2.999989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	84.27676	"DIA"	"ABBA"	"Model.08a"	16.43534	0.5147709	0.545828	1.499234	NA	0.4057475	292.7311	0.0309258	NA	0.106669	0.9798255	0.5132649	0.9825104	0.9999999	0.9999996	0.003955964	5.054674e-07	0.331313	0.1107947	0.9343118	0.8728201	0.6994729	NA	NA	NA	NA	NA	NA	NA
"9"	68.47112	"DIA"	"ABBA"	"Model.08b"	26.66265	0.5	0.8093228	1.713496	NA	0.4761095	30.04393	0.8210317	NA	0.04540101	0.9539823	0.5085628	0.9947366	0.9997298	1	0.05931314	-0.4508896	0.2293675	-0.1123236	0.7215333	0.7498369	0.7688674	NA	NA	NA	NA	NA	NA	NA
"10"	44.9132	"DIA"	"ABBA"	"Model.08c"	5.759368	1.489809	0.5000001	1.280267	NA	NA	NA	NA	NA	0.1153301	1	0.6351332	0.8875263	0.9999999	0.9999974	0.2127255	-0.3783072	0.2165999	-0.01632659	0.9960568	0.8529489	1	0.001	27.06503	NA	NA	NA	NA	NA
"11"	44.60834	"DIA"	"ABBA"	"Model.09a"	19.16271	0.5	2.61767	2.61956	NA	0.3280074	30.94682	0.2609802	NA	0.001722274	0.7280637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12"	44.595	"DIA"	"ABBA"	"Model.09b"	24.34282	0.5	3.072572	3.999966	NA	1.320619e-11	21.76331	1.606505	NA	-0.06090089	0.9999387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	44.595	"DIA"	"ABBA"	"Model.09c"	1.864822	5.129935	1.766934	1.192228	NA	NA	NA	NA	NA	0.1525906	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001000001	398.9045	NA	NA	NA	NA	NA
"14"	45.51575	"DIA"	"ABBA"	"Model.10a"	19.49468	0.5	1.503793	1.248355	NA	1	1.988989	0.3064585	NA	0.07419123	0.9831571	0.1475029	0.7368469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	44.595	"DIA"	"ABBA"	"Model.10b"	0.5228258	18.61849	1.168796	1.144686	NA	1	2.672363	0.3949165	NA	0.06969155	1	0.1532086	0.9165061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	44.595	"DIA"	"ABBA"	"Model.10c"	16.79146	0.5	1.192051	1.225189	NA	NA	NA	NA	NA	0.1121466	1	0.1712758	0.9918014	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001	88.88079	NA	NA	NA	NA	NA
"17"	44.595	"DIA"	"ABBA"	"Model.11a"	1.191437	10.27734	0.5	1.907471	NA	1.161833	1.204749	0.9882492	NA	0.07391592	1	0.7541288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	44.595	"DIA"	"ABBA"	"Model.11b"	21.56119	0.6152965	1.736566	1.291754	NA	0.0765008	54.98295	1.051282	NA	-0.189297	0.5938077	0.50106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	44.595	"DIA"	"ABBA"	"Model.11c"	21.03659	0.5	0.5	1.997908	NA	NA	NA	NA	NA	0.1220749	0.9697979	0.7284415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001	33.40632	NA	NA	NA	NA	NA
"20"	89.18999	"DIA"	"ABBA"	"Model.12a"	32.54892	0.5000108	0.6325217	1.513845	NA	0.6138567	13.2384	1.032318	0.07764721	0.1166231	0.938557	0.626467	0.8498671	1	0.9151216	0.08373096	2.565477e-11	0.3163144	3.149987e-05	0.6146103	0.8069481	0.8120379	NA	NA	NA	NA	NA	NA	NA
"21"	89.18914	"DIA"	"ABBA"	"Model.12b"	3.690511	3.324563	1.415201	1.434166	NA	0.3972891	61.63209	0.4556257	0.1367306	0.1211755	0.9999914	0.6728479	0.9339258	1	0.9987729	0.09231463	-0.5090345	0.2131988	-0.1183644	0.6509221	0.209872	0.5913474	NA	NA	NA	NA	NA	NA	NA
"22"	44.94904	"DIA"	"ABBA"	"Model.12c"	9.486319	0.8894442	0.5	1.119132	NA	NA	NA	NA	NA	0.1110991	0.9968372	0.6739625	0.9996622	0.9998155	0.9596351	0.1356114	-0.3607038	0.3873784	-0.01482372	0.9883709	0.9973811	0.7213677	0.001	26.72201	NA	NA	NA	NA	NA
"23"	89.19	"DIA"	"ABBA"	"Model.13a"	5.621959	1.668889	1.134962	2.060135	NA	0.2935654	354.1915	0.070202	-0.05248082	0.03642249	0.7009904	0.3858963	0.9999037	0.9731872	0.635443	1.105901e-22	1.100633e-05	0.2149882	3.571094e-05	0.8604847	0.2414928	0.5393693	NA	NA	NA	NA	NA	NA	NA
"24"	67.58143	"DIA"	"ABBA"	"Model.13b"	25.6083	0.5016852	1.087817	2.12546	NA	0.4438642	37.67617	0.569644	0.1536518	0.06435134	1	0.4827972	0.8817943	0.8853787	0.9999997	0.1923479	-0.497463	0.1393737	-0.1548676	0.9964822	0.8159062	0.9999131	NA	NA	NA	NA	NA	NA	NA
"25"	44.595	"DIA"	"ABBA"	"Model.13c"	0.5	17.11642	0.6436749	1.606862	NA	NA	NA	NA	NA	0.1103597	0.9877851	0.6936765	0.9999988	0.9999835	1	0.1034374	-0.3966914	0.4755679	-0.04980957	0.7132431	0.9327056	0.982251	0.001	35.73009	NA	NA	NA	NA	NA
